iso3,year,risk.factor,measure,unit,sex,age,best,lo,hi
AFG,2021,hiv,inc,num,a,a,385,8,1457
AFG,2021,diabetes,inc,num,a,18+,3970,649,10234
AFG,2021,diabetes,inc,num,f,18+,2112,434,5090
AFG,2021,diabetes,inc,num,m,18+,1854,362,4542
AFG,2021,alcohol,inc,num,a,15+,655,82,1808
AFG,2021,alcohol,inc,num,f,15+,85,17,206
AFG,2021,alcohol,inc,num,m,15+,468,96,1128
AFG,2021,smoking,inc,num,a,15+,3619,284,11081
AFG,2021,smoking,inc,num,f,15+,457,69,1202
AFG,2021,smoking,inc,num,m,15+,2920,485,7495
AFG,2021,undernutrition,inc,num,a,a,26498,16889,38236
AGO,2021,hiv,inc,num,a,a,15913,5102,32762
AGO,2021,diabetes,inc,num,a,18+,4301,378,12871
AGO,2021,diabetes,inc,num,f,18+,1703,192,4823
AGO,2021,diabetes,inc,num,m,18+,2587,284,7375
AGO,2021,alcohol,inc,num,a,15+,13302,1805,36034
AGO,2021,alcohol,inc,num,f,15+,1734,339,4245
AGO,2021,alcohol,inc,num,m,15+,12444,2818,29083
AGO,2021,smoking,inc,num,a,15+,,,
AGO,2021,smoking,inc,num,f,15+,,,
AGO,2021,smoking,inc,num,m,15+,,,
AGO,2021,undernutrition,inc,num,a,a,29917,19635,42329
ALB,2021,hiv,inc,num,a,a,4,1,9
ALB,2021,diabetes,inc,num,a,18+,14,5,28
ALB,2021,diabetes,inc,num,f,18+,3,1,7
ALB,2021,diabetes,inc,num,m,18+,10,3,21
ALB,2021,alcohol,inc,num,a,15+,50,20,92
ALB,2021,alcohol,inc,num,f,15+,5,2,9
ALB,2021,alcohol,inc,num,m,15+,54,26,93
ALB,2021,smoking,inc,num,a,15+,46,14,96
ALB,2021,smoking,inc,num,f,15+,3,1,7
ALB,2021,smoking,inc,num,m,15+,52,20,99
ALB,2021,undernutrition,inc,num,a,a,37,32,44
AND,2021,hiv,inc,num,a,a,,,
AND,2021,diabetes,inc,num,a,18+,0,0,0
AND,2021,diabetes,inc,num,f,18+,0,0,0
AND,2021,diabetes,inc,num,m,18+,0,0,0
AND,2021,alcohol,inc,num,a,15+,0,0,0
AND,2021,alcohol,inc,num,f,15+,0,0,0
AND,2021,alcohol,inc,num,m,15+,0,0,0
AND,2021,smoking,inc,num,a,15+,0,0,0
AND,2021,smoking,inc,num,f,15+,0,0,0
AND,2021,smoking,inc,num,m,15+,0,0,0
AND,2021,undernutrition,inc,num,a,a,,,
ARE,2021,hiv,inc,num,a,a,0,0,0
ARE,2021,diabetes,inc,num,a,18+,4,2,8
ARE,2021,diabetes,inc,num,f,18+,1,0,2
ARE,2021,diabetes,inc,num,m,18+,0,0,0
ARE,2021,alcohol,inc,num,a,15+,1,0,2
ARE,2021,alcohol,inc,num,f,15+,0,0,0
ARE,2021,alcohol,inc,num,m,15+,0,0,0
ARE,2021,smoking,inc,num,a,15+,,,
ARE,2021,smoking,inc,num,f,15+,,,
ARE,2021,smoking,inc,num,m,15+,,,
ARE,2021,undernutrition,inc,num,a,a,5,4,6
ARG,2021,hiv,inc,num,a,a,770,255,1565
ARG,2021,diabetes,inc,num,a,18+,638,228,1256
ARG,2021,diabetes,inc,num,f,18+,259,93,510
ARG,2021,diabetes,inc,num,m,18+,378,131,754
ARG,2021,alcohol,inc,num,a,15+,1872,709,3589
ARG,2021,alcohol,inc,num,f,15+,373,155,686
ARG,2021,alcohol,inc,num,m,15+,1594,742,2766
ARG,2021,smoking,inc,num,a,15+,1668,461,3636
ARG,2021,smoking,inc,num,f,15+,570,194,1144
ARG,2021,smoking,inc,num,m,15+,1134,402,2241
ARG,2021,undernutrition,inc,num,a,a,1082,905,1274
ARM,2021,hiv,inc,num,a,a,31,9,67
ARM,2021,diabetes,inc,num,a,18+,32,11,64
ARM,2021,diabetes,inc,num,f,18+,8,3,17
ARM,2021,diabetes,inc,num,m,18+,22,7,44
ARM,2021,alcohol,inc,num,a,15+,69,25,136
ARM,2021,alcohol,inc,num,f,15+,7,2,14
ARM,2021,alcohol,inc,num,m,15+,78,32,143
ARM,2021,smoking,inc,num,a,15+,74,20,163
ARM,2021,smoking,inc,num,f,15+,1,0,2
