country,iso3,g_whoregion,row_rank_ret,year_ret,source_ret,all_areas_covered_ret,surv_quality_ret,dst_rlt_ret,mdr_ret,mdr_ret_pcnt,mdr_ret_pcnt_lo,mdr_ret_pcnt_hi,dr_r_nh_ret,dr_r_nh_ret_pcnt,dr_r_nh_ret_pcnt_lo,dr_r_nh_ret_pcnt_hi,xpert_ret,xpert_dr_r_ret,xpert_dr_r_ret_pcnt,xpert_dr_r_ret_pcnt_lo,xpert_dr_r_ret_pcnt_hi,r_rlt_ret,rr_ret,rr_ret_pcnt,rr_ret_pcnt_lo,rr_ret_pcnt_hi,dst_rlt_hr_ret,dst_rlt_hr_ret_pcnt,dst_rlt_hr_ret_pcnt_lo,dst_rlt_hr_ret_pcnt_hi,dst_rlt_rr_ret,dst_rlt_rr_ret_pcnt,dst_rlt_rr_ret_pcnt_lo,dst_rlt_rr_ret_pcnt_hi,dr_h_nr_ret,dr_h_nr_ret_pcnt,dr_h_nr_ret_pcnt_lo,dr_h_nr_ret_pcnt_hi
Netherlands,NLD,EUR,16,2002,Surveillance,1,A,34,0,,,,0,,,,,,,,,,,,,,,,,,,,,,3,,,
Netherlands,NLD,EUR,17,2001,Surveillance,1,A,14,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
Netherlands,NLD,EUR,18,2000,Surveillance,1,A,95,1,,,,0,,,,,,,,,,,,,,,,,,,,,,7,,,
Netherlands,NLD,EUR,19,1999,Surveillance,1,A,42,0,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,
Netherlands,NLD,EUR,20,1996,Surveillance,1,A,172,1,,,,0,,,,,,,,,,,,,,,,,,,,,,15,,,
New Caledonia,NCL,WPR,1,2018,Surveillance,1,A,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,
New Caledonia,NCL,WPR,2,2016,Surveillance,1,A,1,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
New Caledonia,NCL,WPR,3,2014,Surveillance,1,A,2,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
New Caledonia,NCL,WPR,4,1996,Survey,1,A,12,,0,0,22.09,,0,0,22.09,,,,,,,,,,,,,,,,,,,,8.33,.21,38.48
New Zealand,NZL,WPR,1,2014,Surveillance,1,A,5,1,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
New Zealand,NZL,WPR,2,2012,Surveillance,1,A,12,2,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
New Zealand,NZL,WPR,3,2011,Surveillance,1,A,5,1,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
New Zealand,NZL,WPR,4,2009,Surveillance,1,A,8,1,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
New Zealand,NZL,WPR,5,2008,Surveillance,1,A,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
New Zealand,NZL,WPR,6,2007,Surveillance,1,A,8,2,,,,0,,,,,,,,,,,,,,,,,,,,,,3,,,
New Zealand,NZL,WPR,7,2006,Surveillance,1,A,16,0,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,
New Zealand,NZL,WPR,8,2005,Surveillance,1,A,14,3,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,
New Zealand,NZL,WPR,9,2004,Surveillance,1,A,11,1,,,,0,,,,,,,,,,,,,,,,,,,,,,2,,,
New Zealand,NZL,WPR,10,2003,Surveillance,1,A,18,1,,,,0,,,,,,,,,,,,,,,,,,,,,,4,,,
New Zealand,NZL,WPR,11,2002,Surveillance,1,A,9,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
New Zealand,NZL,WPR,12,2001,Surveillance,1,A,22,0,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,
New Zealand,NZL,WPR,13,2000,Surveillance,1,A,17,0,,,,0,,,,,,,,,,,,,,,,,,,,,,5,,,
New Zealand,NZL,WPR,14,1999,Surveillance,1,A,23,0,,,,0,,,,,,,,,,,,,,,,,,,,,,3,,,
New Zealand,NZL,WPR,15,1998,Surveillance,1,A,11,1,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,
New Zealand,NZL,WPR,16,1997,Surveillance,1,A,14,0,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,
New Zealand,NZL,WPR,17,1996,Surveillance,1,A,15,0,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,
New Zealand,NZL,WPR,18,1995,Surveillance,1,A,6,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
Nicaragua,NIC,AMR,1,2020,Surveillance,1,A,146,1,,,,,,,,,,,,,146,8,,,,1,,,,8,,,,,,,
Nicaragua,NIC,AMR,2,2010,Surveillance,1,R,150,16,,,,2,,,,,,,,,,,,,,,,,,,,,,9,,,
Nicaragua,NIC,AMR,3,2006,Survey,1,A,103,,7.77,3.41,14.73,,.97,.02,5.29,,,,,,,,,,,,,,,,,,,,21.36,13.9,30.53
Nigeria,NGA,AFR,1,2010,Survey,1,A,259,,14.3,10.2,19.3,,10.6,7.1,15.2,,,,,,,,,,,,,,,,,,,,5.7,3.2,9.4
North Macedonia,MKD,EUR,1,2020,Surveillance,1,A,10,0,,,,,,,,,,,,,10,1,,,,0,,,,1,,,,,,,
North Macedonia,MKD,EUR,2,2019,Surveillance,1,A,14,1,,,,,,,,,,,,,14,0,,,,1,,,,1,,,,,,,
North Macedonia,MKD,EUR,3,2018,Surveillance,1,A,9,0,,,,,,,,,,,,,11,0,,,,2,,,,0,,,,,,,
North Macedonia,MKD,EUR,4,2017,Surveillance,1,A,19,1,,,,,,,,,,,,,19,0,,,,2,,,,1,,,,,,,
North Macedonia,MKD,EUR,5,2016,Surveillance,1,A,12,0,,,,0,,,,2,0,,,,,,,,,,,,,,,,,0,,,
North Macedonia,MKD,EUR,6,2015,Surveillance,1,A,15,1,,,,0,,,,0,0,,,,,,,,,,,,,,,,,1,,,
North Macedonia,MKD,EUR,7,2014,Surveillance,1,A,17,0,,,,0,,,,1,0,,,,,,,,,,,,,,,,,0,,,
North Macedonia,MKD,EUR,8,2013,Surveillance,1,A,16,1,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
North Macedonia,MKD,EUR,9,2012,Surveillance,1,A,26,4,,,,0,,,,0,0,,,,,,,,,,,,,,,,,1,,,
North Macedonia,MKD,EUR,10,2011,Surveillance,1,A,25,1,,,,3,,,,0,0,,,,,,,,,,,,,,,,,1,,,
North Macedonia,MKD,EUR,11,2010,Surveillance,1,A,28,5,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
North Macedonia,MKD,EUR,12,2009,Surveillance,1,A,28,1,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,
Northern Mariana Islands,MNP,WPR,1,2021,Surveillance,1,A,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,
Northern Mariana Islands,MNP,WPR,2,2014,Surveillance,1,A,1,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Northern Mariana Islands,MNP,WPR,3,2013,Surveillance,1,R,5,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,1,,,
Northern Mariana Islands,MNP,WPR,4,2005,Surveillance,1,A,1,0,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,
Norway,NOR,EUR,1,2021,Surveillance,1,A,9,2,,,,,,,,,,,,,9,2,,,,2,,,,2,,,,,,,
Norway,NOR,EUR,2,2020,Surveillance,1,A,8,0,,,,,,,,,,,,,9,0,,,,2,,,,0,,,,,,,
Norway,NOR,EUR,3,2015,Surveillance,1,A,17,0,,,,1,,,,,,,,,,,,,,,,,,,,,,4,,,
Norway,NOR,EUR,4,2014,Surveillance,1,A,16,3,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,
Norway,NOR,EUR,5,2013,Surveillance,1,A,17,1,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,
Norway,NOR,EUR,6,2012,Surveillance,1,A,19,2,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
Norway,NOR,EUR,7,2011,Surveillance,1,A,22,0,,,,0,,,,,,,,,,,,,,,,,,,,,,2,,,
Norway,NOR,EUR,8,2010,Surveillance,1,A,35,2,,,,0,,,,,,,,,,,,,,,,,,,,,,2,,,
Norway,NOR,EUR,9,2009,Surveillance,1,A,20,0,,,,0,,,,,,,,,,,,,,,,,,,,,,2,,,
Norway,NOR,EUR,10,2008,Surveillance,1,A,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Norway,NOR,EUR,11,2007,pre-2010 TME data collection,1,A,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,NOR,EUR,12,2006,pre-2010 TME data collection,1,A,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,NOR,EUR,13,2005,Surveillance,1,A,8,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
Norway,NOR,EUR,14,2004,Surveillance,1,A,11,0,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,,
Norway,NOR,EUR,15,2003,Surveillance,1,A,11,2,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,
Norway,NOR,EUR,16,2002,Surveillance,1,A,11,0,,,,0,,,,,,,,,,,,,,,,,,,,,,2,,,
Norway,NOR,EUR,17,2001,Surveillance,1,A,32,3,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
Norway,NOR,EUR,18,2000,Surveillance,1,A,10,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
Norway,NOR,EUR,19,1999,Surveillance,1,A,40,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
Norway,NOR,EUR,20,1996,Surveillance,1,A,6,1,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
Oman,OMN,EMR,1,2020,Surveillance,1,A,3,0,,,,,,,,,,,,,3,0,,,,0,,,,0,,,,,,,
Oman,OMN,EMR,2,2019,Surveillance,1,A,3,0,,,,,,,,,,,,,3,0,,,,0,,,,0,,,,,,,
Oman,OMN,EMR,3,2017,Surveillance,1,A,4,0,,,,,,,,,,,,,4,0,,,,0,,,,0,,,,,,,
Oman,OMN,EMR,4,2015,Surveillance,1,R,8,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Oman,OMN,EMR,5,2014,Surveillance,1,A,7,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Oman,OMN,EMR,6,2013,Surveillance,1,A,5,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Oman,OMN,EMR,7,2012,Surveillance,1,A,8,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Oman,OMN,EMR,8,2011,Surveillance,1,A,3,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Oman,OMN,EMR,9,2010,Surveillance,1,A,8,1,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
Oman,OMN,EMR,10,2009,Surveillance,1,A,7,1,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
Oman,OMN,EMR,11,2007,Surveillance,1,A,15,2,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,
Oman,OMN,EMR,12,2006,Surveillance,1,A,14,5,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
Oman,OMN,EMR,13,2005,Surveillance,1,A,11,5,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,
Oman,OMN,EMR,14,2004,Surveillance,1,A,5,5,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
Oman,OMN,EMR,15,2003,Surveillance,1,A,9,4,,,,0,,,,,,,,,,,,,,,,,,,,,,2,,,
Oman,OMN,EMR,16,2002,Surveillance,1,A,5,4,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,
Oman,OMN,EMR,17,2001,Surveillance,1,A,12,7,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
Oman,OMN,EMR,18,2000,Surveillance,1,A,7,7,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
Pakistan,PAK,EMR,1,2013,Survey,1,A,212,,18.1,13,23.4,,1.7,.3,3.1,258,,19.8,15.1,22.2,,,,,,,,,,,,,,,6.6,3.7,10.8
Palau,PLW,WPR,1,2020,Surveillance,1,A,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,
Panama,PAN,AMR,1,2016,Surveillance,1,R,57,1,,,,9,,,,7,1,,,,,,,,,,,,,,,,,1,,,
Paraguay,PRY,AMR,1,2021,Surveillance,1,A,373,1,,,,,,,,,,,,,373,10,,,,3,,,,10,,,,,,,
Paraguay,PRY,AMR,2,2008,Survey,1,A,48,,14.6,6.1,27.8,,0,,,,,,,,,,,,,,,,,,,,,,2.1,.1,11.1
Paraguay,PRY,AMR,3,2001,Survey,1,A,51,,3.92,.48,13.46,,7.84,2.18,18.88,,,,,,,,,,,,,,,,,,,,7.84,2.18,18.88
Peru,PER,AMR,1,2021,Surveillance,1,A,2054,123,,,,,,,,,,,,,2217,189,,,,175,,,,151,,,,,,,
Peru,PER,AMR,2,2017,Surveillance,1,R,2584,491,,,,,,,,,,,,,2622,537,,,,1652,,,,533,,,,,,,
Peru,PER,AMR,3,2016,Surveillance,1,A,2270,515,,,,41,,,,0,0,,,,,,,,,,,,,,,,,201,,,
Peru,PER,AMR,4,2015,Surveillance,1,A,3075,587,,,,47,,,,0,0,,,,,,,,,,,,,,,,,202,,,
Peru,PER,AMR,5,2014,Surveillance,1,A,3163,644,,,,56,,,,0,0,,,,,,,,,,,,,,,,,208,,,
Peru,PER,AMR,6,2012,Surveillance,1,A,1902,661,,,,60,,,,0,0,,,,,,,,,,,,,,,,,104,,,
Peru,PER,AMR,7,2006,Survey,1,A,360,,23.61,19.32,28.34,,2.78,1.34,5.05,,,,,,,,,,,,,,,,,,,,6.67,4.32,9.76
Peru,PER,AMR,8,1999,Survey,1,A,260,,12.31,8.57,16.93,,2.31,.85,4.95,,,,,,,,,,,,,,,,,,,,3.85,1.86,6.96
Peru,PER,AMR,9,1996,Survey,1,A,458,,15.72,12.51,19.38,,4.59,2.86,6.92,,,,,,,,,,,,,,,,,,,,8.08,5.75,10.96
Philippines,PHL,WPR,1,2019,Survey,1,A,230,,12,8.1,17.5,,,,,,,,,,431,,16.6,13.1,20.8,,21.3,15.4,28.6,,16.7,12.8,21.5,,9.199999999999999,5.5,15.1
Philippines,PHL,WPR,2,2012,Survey,1,A,194,,21.31,15.51,28.66,,7.8,3.9,14.9,,,,,,,,,,,,,,,,,,,,14.9,10.2,20.8
Philippines,PHL,WPR,3,2004,Survey,1,A,129,,20.93,14.27,28.97,,4.65,1.73,9.85,,,,,,,,,,,,,,,,,,,,10.08,5.48,16.62
Poland,POL,EUR,1,2020,Surveillance,1,A,333,10,,,,,,,,,,,,,333,11,,,,22,,,,11,,,,,,,
Poland,POL,EUR,2,2019,Surveillance,1,A,401,11,,,,,,,,,,,,,401,12,,,,27,,,,12,,,,,,,
Poland,POL,EUR,3,2018,Surveillance,1,A,443,15,,,,,,,,,,,,,443,18,,,,37,,,,18,,,,,,,
Poland,POL,EUR,4,2017,Surveillance,1,A,389,14,,,,,,,,,,,,,389,15,,,,29,,,,15,,,,,,,
Poland,POL,EUR,5,2016,Surveillance,1,A,454,18,,,,2,,,,,,,,,,,,,,,,,,,,,,26,,,
Poland,POL,EUR,6,2015,Surveillance,1,A,439,13,,,,3,,,,,,,,,,,,,,,,,,,,,,17,,,
Poland,POL,EUR,7,2014,Surveillance,1,A,415,18,,,,1,,,,,,,,,,,,,,,,,,,,,,14,,,
Poland,POL,EUR,8,2013,Surveillance,1,A,489,21,,,,2,,,,,,,,,,,,,,,,,,,,,,16,,,
Poland,POL,EUR,9,2012,Surveillance,1,A,541,11,,,,2,,,,,,,,,,,,,,,,,,,,,,22,,,
Poland,POL,EUR,10,2011,Surveillance,1,A,577,18,,,,3,,,,,,,,,,,,,,,,,,,,,,26,,,
Poland,POL,EUR,11,2008,Surveillance,1,A,607,34,,,,2,,,,,,,,,,,,,,,,,,,,,,25,,,
Poland,POL,EUR,12,2004,Surveillance,1,A,522,43,,,,8,,,,,,,,,,,,,,,,,,,,,,28,,,
Poland,POL,EUR,13,2001,Surveillance,1,A,668,57,,,,3,,,,,,,,,,,,,,,,,,,,,,39,,,
Poland,POL,EUR,14,1997,Surveillance,1,A,994,70,,,,8,,,,,,,,,,,,,,,,,,,,,,70,,,
Portugal,PRT,EUR,1,2012,Surveillance,1,A,102,5,,,,2,,,,,,,,,,,,,,,,,,,,,,3,,,
Portugal,PRT,EUR,2,2011,Surveillance,1,A,113,7,,,,1,,,,,,,,,,,,,,,,,,,,,,10,,,
Portugal,PRT,EUR,3,2010,Surveillance,1,A,120,8,,,,1,,,,,,,,,,,,,,,,,,,,,,6,,,
Portugal,PRT,EUR,4,2009,Surveillance,1,A,162,10,,,,0,,,,,,,,,,,,,,,,,,,,,,5,,,
Portugal,PRT,EUR,5,2008,Surveillance,1,A,145,9,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,
Portugal,PRT,EUR,6,2007,pre-2010 TME data collection,1,A,144,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,PRT,EUR,7,2006,pre-2010 TME data collection,1,A,97,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,PRT,EUR,8,2005,Surveillance,1,A,172,16,,,,3,,,,,,,,,,,,,,,,,,,,,,10,,,
Portugal,PRT,EUR,9,2004,pre-2010 TME data collection,1,A,151,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,PRT,EUR,10,2003,Surveillance,1,A,169,11,,,,1,,,,,,,,,,,,,,,,,,,,,,8,,,
Portugal,PRT,EUR,11,2002,Surveillance,1,A,159,9,,,,0,,,,,,,,,,,,,,,,,,,,,,9,,,
Portugal,PRT,EUR,12,2001,Surveillance,1,A,164,14,,,,1,,,,,,,,,,,,,,,,,,,,,,6,,,
Portugal,PRT,EUR,13,2000,Surveillance,1,A,142,10,,,,2,,,,,,,,,,,,,,,,,,,,,,5,,,
Portugal,PRT,EUR,14,1995,Survey,1,A,117,,18.8,12.18,27.07,,0,0,2.53,,,,,,,,,,,,,,,,,,,,11.11,6.05,18.25
Puerto Rico,PRI,AMR,1,2021,Surveillance,1,A,1,0,,,,,,,,,,,,,1,1,,,,0,,,,1,,,,,,,
Puerto Rico,PRI,AMR,2,2018,Surveillance,1,A,2,0,,,,,,,,,,,,,2,0,,,,0,,,,0,,,,,,,
Puerto Rico,PRI,AMR,3,2016,Surveillance,1,A,1,0,,,,1,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Puerto Rico,PRI,AMR,4,2015,Surveillance,1,R,1,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Puerto Rico,PRI,AMR,5,2012,Surveillance,1,A,3,1,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Puerto Rico,PRI,AMR,6,2010,Surveillance,1,A,4,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
Puerto Rico,PRI,AMR,7,2009,Surveillance,1,A,1,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
Puerto Rico,PRI,AMR,8,2008,Surveillance,1,A,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
Puerto Rico,PRI,AMR,9,2007,Surveillance,1,A,2,1,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
Puerto Rico,PRI,AMR,10,2006,Surveillance,1,A,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,EMR,1,2020,Surveillance,1,A,3,1,,,,,,,,,,,,,3,1,,,,1,,,,1,,,,,,,
Qatar,QAT,EMR,2,2018,Surveillance,1,A,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,
Republic of Korea,KOR,WPR,1,2020,Surveillance,1,A,2195,126,,,,,,,,,,,,,2195,197,,,,274,,,,197,,,,,,,
Republic of Korea,KOR,WPR,2,2019,Surveillance,1,A,2395,186,,,,,,,,,,,,,2879,268,,,,375,,,,251,,,,,,,
Republic of Korea,KOR,WPR,3,2018,Surveillance,1,A,2650,202,,,,,,,,,,,,,3122,286,,,,395,,,,267,,,,,,,
Republic of Korea,KOR,WPR,4,2017,Surveillance,1,A,2822,246,,,,,,,,,,,,,3183,320,,,,470,,,,300,,,,,,,
Republic of Korea,KOR,WPR,5,2016,Surveillance,1,A,2705,250,,,,48,,,,167,4,,,,,,,,,,,,,,,,,196,,,
Republic of Korea,KOR,WPR,6,2004,Survey,1,A,278,,14.03,10.17,18.68,,2.88,1.25,5.59,,,,,,,,,,,,,,,,,,,,10.07,6.8,14.23
Republic of Korea,KOR,WPR,7,2003,Survey,1,A,622,,13.02,10.34,16.19,,2.73,1.59,4.38,,,,,,,,,,,,,,,,,,,,11.74,9.199999999999999,14.76
Republic of Korea,KOR,WPR,8,1999,Survey,1,A,283,,7.07,4.37,10.7,,3.18,1.46,5.95,,,,,,,,,,,,,,,,,,,,10.25,6.97,14.38
Republic of Moldova,MDA,EUR,1,2018,Surveillance,1,A,519,316,,,,,,,,,,,,,602,359,,,,342,,,,323,,,,,,,
Republic of Moldova,MDA,EUR,2,2015,Surveillance,1,A,697,501,,,,8,,,,100,42,,,,,,,,,,,,,,,,,17,,,
Republic of Moldova,MDA,EUR,3,2012,Surveillance,1,A,933,581,,,,3,,,,,,,,,,,,,,,,,,,,,,48,,,
Republic of Moldova,MDA,EUR,4,2011,Surveillance,1,A,1006,642,,,,10,,,,,,,,,,,,,,,,,,,,,,69,,,
Republic of Moldova,MDA,EUR,5,2010,Surveillance,1,S,1140,746,,,,14,,,,,,,,,,,,,,,,,,,,,,93,,,
Republic of Moldova,MDA,EUR,6,2006,Surveillance,1,A,2054,1044,,,,64,,,,,,,,,,,,,,,,,,,,,,215,,,
Romania,ROU,EUR,1,2021,Surveillance,1,A,1138,108,,,,,,,,,,,,,1226,141,,,,150,,,,135,,,,,,,
Romania,ROU,EUR,2,2020,Surveillance,1,A,1189,138,,,,,,,,,,,,,1195,159,,,,196,,,,159,,,,,,,
Romania,ROU,EUR,3,2019,Surveillance,1,A,1678,189,,,,,,,,,,,,,1702,218,,,,260,,,,215,,,,,,,
Romania,ROU,EUR,4,2018,Surveillance,1,A,1812,230,,,,,,,,,,,,,1854,270,,,,317,,,,267,,,,,,,
Romania,ROU,EUR,5,2017,Surveillance,1,A,1910,259,,,,,,,,,,,,,1934,292,,,,344,,,,288,,,,,,,
Romania,ROU,EUR,6,2016,Surveillance,1,A,2137,334,,,,30,,,,,,,,,,,,,,,,,,,,,,112,,,
Romania,ROU,EUR,7,2015,Surveillance,1,A,2280,397,,,,25,,,,,,,,,,,,,,,,,,,,,,143,,,
Romania,ROU,EUR,8,2015,Survey,1,A,481,,10.8,8.039999999999999,13.59,,1.4,.39,2.53,,,,,,,,,,,,,,,,,,,,6.4,4.25,8.640000000000001
Romania,ROU,EUR,9,2004,Survey,1,A,382,,10.88,8.039999999999999,14.57,,.74,3.74,7.03,,,,,,,,,,,,,,,,,,,,17.28,13.62,21.45
Romania,ROU,EUR,10,1995,Survey,1,A,1521,,14.4,12.55,16.44,,1.97,1.33,2.82,,,,,,,,,,,,,,,,,,,,17.23,15.2,19.44
Russian Federation,RUS,EUR,1,2021,Surveillance,1,A,18831,12084,,,,,,,,,,,,,18831,12745,,,,13409,,,,12745,,,,,,,
Russian Federation,RUS,EUR,2,2020,Surveillance,1,A,20923,13417,,,,,,,,,,,,,20923,14306,,,,15346,,,,14306,,,,,,,
Russian Federation,RUS,EUR,3,2019,Surveillance,1,A,24287,15858,,,,,,,,,,,,,24287,17199,,,,18286,,,,17199,,,,,,,
Russian Federation,RUS,EUR,4,2018,Surveillance,1,A,24088,15155,,,,,,,,,,,,,24088,17011,,,,18327,,,,17011,,,,,,,
Russian Federation,RUS,EUR,5,2017,Surveillance,1,A,24792,14611,,,,,,,,,,,,,24792,16567,,,,17737,,,,16567,,,,,,,
Russian Federation,RUS,EUR,6,2016,Surveillance,1,A,26871,17508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,RWA,AFR,1,2015,Survey,1,A,84,,10.7,5,19.4,,0,0,4.3,,,,,,,,,,,,,,,,,,,,1.2,0,6.5
Rwanda,RWA,AFR,2,2014,Surveillance,1,A,99,5,,,,3,,,,,,,,,,,,,,,,,,,,,,0,,,
Rwanda,RWA,AFR,3,2010,Surveillance,1,R,431,82,,,,10,,,,,,,,,,,,,,,,,,,,,,5,,,
Rwanda,RWA,AFR,4,2005,Survey,1,A,85,,9.41,4.15,17.71,,1.18,.03,6.38,,,,,,,,,,,,,,,,,,,,1.18,.03,6.38
Sao Tome and Principe,STP,AFR,1,2012,Surveillance,1,R,8,7,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Saudi Arabia,SAU,EMR,1,2010,Survey,1,A,295,,15.9,11.9,20.6,,4.4,4.1,4.7,,,,,,,,,,,,,,,,,,,,24.1,23.4,24.7
Senegal,SEN,AFR,1,2014,Survey,1,A,97,,17.5,11.1,23.9,,1,0,3.1,,,,,,,,,,,,,,,,,,,,,,
Senegal,SEN,AFR,2,2006,Survey,1,A,42,,16.67,6.97,31.36,,0,0,6.88,,,,,,,,,,,,,,,,,,,,7.14,1.5,19.48
Serbia,SRB,EUR,1,2013,Surveillance,1,A,86,4,,,,0,,,,0,0,,,,,,,,,,,,,,,,,2,,,
Serbia,SRB,EUR,2,2012,Surveillance,1,A,83,3,,,,1,,,,0,0,,,,,,,,,,,,,,,,,1,,,
Serbia,SRB,EUR,3,2011,Surveillance,1,A,100,6,,,,0,,,,0,0,,,,,,,,,,,,,,,,,1,,,
Serbia,SRB,EUR,4,2010,Surveillance,1,A,113,8,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,
Serbia,SRB,EUR,5,2008,Surveillance,1,A,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,
Serbia,SRB,EUR,6,2007,pre-2010 TME data collection,1,A,185,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,SRB,EUR,7,2006,pre-2010 TME data collection,1,A,140,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,SRB,EUR,8,2005,Surveillance,1,A,121,5,,,,3,,,,,,,,,,,,,,,,,,,,,,2,,,
Seychelles,SYC,AFR,1,2012,Surveillance,1,A,2,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Sierra Leone,SLE,AFR,1,1997,Survey,1,A,13,,23.08,5.04,53.81,,0,0,20.58,,,,,,,,,,,,,,,,,,,,38.46,13.86,68.42
Sierra Leone,SLE,AFR,2,1996,Survey,1,A,172,,12.79,8.19,18.72,,1.74,.36,5.01,,,,,,,,,,,,,,,,,,,,30.23,23.47,37.69
Singapore,SGP,WPR,1,2021,Surveillance,1,A,67,2,,,,,,,,,,,,,67,2,,,,6,,,,2,,,,,,,
Singapore,SGP,WPR,2,2020,Surveillance,1,A,55,1,,,,,,,,,,,,,55,1,,,,6,,,,1,,,,,,,
Singapore,SGP,WPR,3,2019,Surveillance,1,A,49,0,,,,,,,,,,,,,52,1,,,,3,,,,1,,,,,,,
Singapore,SGP,WPR,4,2018,Surveillance,1,A,74,1,,,,,,,,,,,,,86,3,,,,4,,,,3,,,,,,,
Singapore,SGP,WPR,5,2017,Surveillance,1,A,84,2,,,,,,,,,,,,,84,3,,,,4,,,,3,,,,,,,
Singapore,SGP,WPR,6,2016,Surveillance,1,A,77,2,,,,0,,,,10,0,,,,,,,,,,,,,,,,,8,,,
Singapore,SGP,WPR,7,2015,Surveillance,1,A,84,1,,,,0,,,,17,0,,,,,,,,,,,,,,,,,7,,,
